Date,Prism pct (inches),SCAN pct (in)
2010-01,4.7,4.8
2010-02,2.89,3.3
2010-03,5.57,5.5
2010-04,5.27,3.6
2010-05,8.81,7.7
2010-06,4.01,2.5
2010-07,2.61,3.5
2010-08,2.68,3.8
2010-09,2.13,1.8
2010-10,3.64,1.4
2010-11,4.13,4.8
2010-12,3,1.2
2011-01,4.72,4.3
2011-02,2.48,2.2
2011-03,9.94,
2011-04,7.23,
2011-05,3.74,
2011-06,4.78,7.5
2011-07,5.53,4.32
2011-08,0.82,
2011-09,12.4,
2011-10,0.57,
2011-11,5.74,
2011-12,5.71,
2012-01,7.62,
2012-02,3.13,
2012-03,5.58,
2012-04,1.22,
2012-05,2.36,
2012-06,2.43,
2012-07,6.41,
2012-08,3.42,
2012-09,7.39,
2012-10,3.56,
2012-11,1.4,
2012-12,7.13,
2013-01,10.14,12.85
2013-02,5.4,6.16
2013-03,4.84,5.87
2013-04,6.91,
2013-05,7.87,
2013-06,6.78,
2013-07,7.19,
2013-08,5.41,
2013-09,4.93,
2013-10,0.46,
2013-11,4.57,
2013-12,8.68,
2014-01,2.24,
2014-02,6.16,
2014-03,3.86,
2014-04,9.71,
2014-05,3.14,
2014-06,7.19,
2014-07,3.02,
2014-08,3.96,
2014-09,2.12,
2014-10,6.21,
2014-11,3.26,
2014-12,6.15,
2015-01,3.89,
2015-02,3.97,
2015-03,4.76,
2015-04,7.52,
2015-05,2.67,
2015-06,1.56,
2015-07,5.04,3.9
2015-08,6.59,9.74
2015-09,1.73,2.1
2015-10,2.93,
2015-11,5.27,
2015-12,13.24,15.28
2016-01,4.09,4.55
2016-02,9.11,7.76
2016-03,3.65,4.64
2016-04,3.82,1.95
2016-05,1.88,
2016-06,2.61,
2016-07,3.73,
2016-08,3.37,
2016-09,0.37,0.62
2016-10,0.01,0.35
2016-11,1.46,2.95
2016-12,5.49,4.41
2017-01,7.22,6.79
2017-02,3.2,4.27
2017-03,6.44,6.14
2017-04,5.01,3.88
2017-05,8.34,5.75
2017-06,10.28,6.87
2017-07,6.55,3.81
2017-08,2.65,4.02
2017-09,5.86,5.08
2017-10,6.52,6.41
2017-11,1.12,0.58
2017-12,4.67,0
2018-01,1.46,0
2018-02,8.19,0
2018-03,5.59,0
2018-04,6.47,0
2018-05,3.96,0
2018-06,5.31,3.91
2018-07,2.48,3.3
2018-08,4.73,3.33
2018-09,6.65,0.02
2018-10,2.55,2.73
2018-11,6.54,6.62
2018-12,10.31,9.42
2019-01,7.36,7.05
2019-02,10.27,12.45
2019-03,3.98,4.55
2019-04,6.46,5.36
2019-05,4.11,5.1
2019-06,4.4,3.75
2019-07,4.84,2.39
2019-08,5.63,6.24
2019-09,0.55,
2019-10,7.21,10.21
2019-11,3.08,3.95
2019-12,9.81,9.29
2020-01,7.18,7.63
2020-02,12.55,13.49
2020-03,8.44,7.87
2020-04,10.18,1.21
2020-05,3.81,0.08
2020-06,3.82,0.08
2020-07,3.71,0
2020-08,7.79,0
2020-09,3.16,0
2020-10,6.84,0
2020-11,1.81,2.12
2020-12,5,6.92
2021-01,3.34,3.49
